lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2,dist_capital_km,dist_bratislava_km,dist_uni_km,dist_airport_km,dist_motorway_km,dist_railway_km,urban_class,density_class,is_regional_capital,econ_proximity,econ_potential,edu_access_score,edu_infra_score,transport_score,connectivity_score,remoteness_index
504157,SK_504157,Vinohrady nad Váhom,SK021,Trnavský kraj,1669.0,156.00635793,10.69828193,14.9,52.3,14.9,34.7,9.1,15.2,Large Village (1K-5K),Medium (100-500/km²),No,85.1,100,77.7,64.5,84.6,83.4,16.6
501859,SK_501859,Orechová Potôň,SK021,Trnavský kraj,1664.0,78.98994044,21.0659736,37.1,36.3,36.3,30.1,33.5,36.7,Large Village (1K-5K),Sparse (<100/km²),No,62.9,100,45.6,64.4,66.0,61.0,39.0
517861,SK_517861,Petrovice,SK031,Žilinský kraj,1663.0,51.10503809,32.54082302,19.6,163.1,19.6,86.9,15.9,19.7,Large Village (1K-5K),Sparse (<100/km²),No,80.4,100,70.6,64.4,71.0,73.7,26.3
517712,SK_517712,Krasňany,SK031,Žilinský kraj,1660.0,109.34423921,15.1814125,15.1,177.9,15.1,63.4,6.7,15.0,Large Village (1K-5K),Medium (100-500/km²),No,84.9,100,77.3,64.4,81.1,81.5,18.5
528773,SK_528773,Kamenná Poruba (okres Vranov nad Topľou),SK041,Prešovský kraj,1660.0,224.13541906,7.40623685,33.8,343.0,32.3,35.9,32.1,31.5,Large Village (1K-5K),Medium (100-500/km²),No,66.2,45.9,51.6,64.4,67.5,63.9,36.1
525090,SK_525090,Ražňany,SK041,Prešovský kraj,1660.0,146.17126959,11.35654089,15.3,309.7,15.3,48.3,36.1,15.3,Large Village (1K-5K),Medium (100-500/km²),No,84.7,72.7,77.0,64.4,68.8,75.2,24.8
524735,SK_524735,Lažany,SK041,Prešovský kraj,166.0,126.27885775,1.31455101,11.6,309.4,11.6,43.2,32.1,11.5,Small Village (<1K),Medium (100-500/km²),No,88.4,50.3,82.6,44.5,72.9,79.5,20.5
516210,SK_516210,Modrý Kameň,SK032,Banskobystrický kraj,1659.0,84.45133672,19.64444927,55.3,164.3,37.6,44.7,42.9,38.8,Large Village (1K-5K),Sparse (<100/km²),No,44.7,100,43.6,64.4,58.2,51.2,48.8
501654,SK_501654,Jahodná,SK021,Trnavský kraj,1657.0,105.67598927,15.68000462,38.3,46.5,38.3,39.7,33.3,38.1,Large Village (1K-5K),Medium (100-500/km²),No,61.7,100,42.6,64.4,64.0,59.0,41.0
504858,SK_504858,Sološnica,SK010,Bratislavský kraj,1653.0,43.76397145,37.77079514,35.6,35.6,27.4,31.9,19.9,27.1,Large Village (1K-5K),Sparse (<100/km²),No,64.4,100,58.9,64.4,75.7,69.0,31.0
510319,SK_510319,Bobrovček,SK031,Žilinský kraj,165.0,48.17831667,3.42477719,62.8,213.9,22.5,47.7,16.3,22.4,Small Village (<1K),Sparse (<100/km²),No,37.2,100,66.2,44.4,76.4,62.6,37.4
512737,SK_512737,Turčiansky Ďur,SK031,Žilinský kraj,165.0,176.40936192,0.93532451,31.3,155.7,31.3,40.8,15.1,31.2,Small Village (<1K),Medium (100-500/km²),No,68.7,100,53.0,44.4,75.2,68.8,31.2
543446,SK_543446,Ordzovany,SK041,Prešovský kraj,165.0,13.67844991,12.06277035,33.4,288.3,33.4,40.0,23.6,19.8,Small Village (<1K),Sparse (<100/km²),No,66.6,62.0,49.9,44.4,74.9,67.4,32.6
523763,SK_523763,Nová Lesná,SK041,Prešovský kraj,1649.0,400.85089877,4.11374904,72.3,256.2,70.1,5.9,19.9,4.9,Large Village (1K-5K),Medium (100-500/km²),No,27.7,100,0,64.3,87.4,52.0,48.0
518506,SK_518506,Kováčová (okres Zvolen),SK032,Banskobystrický kraj,1648.0,230.59129413,7.14684397,15.6,154.8,6.0,5.0,15.8,4.3,Large Village (1K-5K),Medium (100-500/km²),No,84.4,100,91.0,64.3,89.8,88.4,11.6
511421,SK_511421,Halič,SK032,Banskobystrický kraj,1647.0,75.48428922,21.81910987,56.2,184.2,42.3,48.3,56.0,44.0,Large Village (1K-5K),Sparse (<100/km²),No,43.8,100,36.6,64.3,49.3,45.1,54.9
526967,SK_526967,Plavnica,SK041,Prešovský kraj,1643.0,83.79997718,19.60621059,45.4,296.0,45.4,44.0,43.7,39.0,Large Village (1K-5K),Sparse (<100/km²),No,54.6,83.6,31.9,64.3,57.8,51.7,48.3
523950,SK_523950,Švábovce,SK041,Prešovský kraj,1643.0,181.39263187,9.05769977,64.4,258.3,64.4,9.9,14.5,7.5,Large Village (1K-5K),Medium (100-500/km²),No,35.6,100,3.4,64.3,88.6,55.7,44.3
510254,SK_510254,Žaškov,SK031,Žilinský kraj,1641.0,66.36359332,24.7274133,33.7,190.3,13.0,58.7,14.9,13.0,Large Village (1K-5K),Sparse (<100/km²),No,66.3,100,80.5,64.3,78.4,75.2,24.8
512087,SK_512087,Blažovce,SK031,Žilinský kraj,164.0,45.49733161,3.604607,32.5,155.2,31.7,39.7,16.3,31.9,Small Village (<1K),Sparse (<100/km²),No,67.5,100,52.5,44.3,74.6,68.0,32.0
525316,SK_525316,Torysa,SK041,Prešovský kraj,1639.0,155.17129691,10.56252047,31.5,299.1,31.5,47.6,37.5,31.5,Large Village (1K-5K),Medium (100-500/km²),No,68.5,81.1,52.8,64.3,62.8,62.5,37.5
513008,SK_513008,Domaniža,SK022,Trenčiansky kraj,1638.0,62.85160692,26.06138618,40.0,144.6,25.4,61.2,6.6,25.3,Large Village (1K-5K),Sparse (<100/km²),No,60.0,100,61.9,64.3,78.1,69.4,30.6
509591,SK_509591,Breza,SK031,Žilinský kraj,1636.0,72.62693449,22.52607812,49.4,216.2,36.5,73.3,39.3,36.4,Large Village (1K-5K),Sparse (<100/km²),No,50.6,100,45.2,64.3,56.0,52.2,47.8
542652,SK_542652,Bánovce nad Bebravou,SK022,Trenčiansky kraj,16359.0,615.66096065,26.5714428,23.2,105.6,23.2,32.4,11.2,23.1,Town (5K-50K),Dense (>500/km²),No,76.8,100,65.2,84.3,81.3,76.7,23.3
529044,SK_529044,Rafajovce,SK041,Prešovský kraj,163.0,34.31485813,4.75012892,36.7,354.8,36.7,55.9,50.8,36.9,Small Village (<1K),Sparse (<100/km²),No,63.3,25.0,44.9,44.3,53.0,54.5,45.5
512273,SK_512273,Horná Štubňa,SK031,Žilinský kraj,1628.0,51.82688226,31.41226964,47.7,152.2,19.2,25.1,19.6,19.4,Large Village (1K-5K),Sparse (<100/km²),No,52.3,100,71.2,64.2,79.5,69.7,30.3
503703,SK_503703,Čierny Brod,SK021,Trnavský kraj,1627.0,91.94053653,17.69622042,24.5,39.4,24.5,31.6,20.0,24.3,Large Village (1K-5K),Sparse (<100/km²),No,75.5,100,63.2,64.2,76.6,73.6,26.4
508314,SK_508314,Vinosady,SK010,Bratislavský kraj,1624.0,314.58472125,5.16236133,23.0,23.0,23.0,17.1,4.0,22.2,Large Village (1K-5K),Medium (100-500/km²),No,77.0,100,65.5,64.2,87.8,80.1,19.9
509698,SK_509698,Chlebnice,SK031,Žilinský kraj,1622.0,64.10779127,25.30113685,53.8,211.3,20.9,57.9,23.5,20.9,Large Village (1K-5K),Sparse (<100/km²),No,46.2,100,68.7,64.2,71.6,63.4,36.6
501123,SK_501123,Dulovce,SK023,Nitriansky kraj,1620.0,130.86825515,12.37886146,50.0,92.2,17.2,85.7,49.2,17.0,Large Village (1K-5K),Medium (100-500/km²),No,50.0,100,74.2,64.2,55.4,57.5,42.5
506672,SK_506672,Višňové (okres Nové Mesto nad Váhom),SK022,Trenčiansky kraj,162.0,29.34740199,5.52007977,27.7,80.7,27.7,13.3,30.8,6.4,Small Village (<1K),Sparse (<100/km²),No,72.3,100,58.5,44.2,80.2,73.5,26.5
502502,SK_502502,Lula,SK023,Nitriansky kraj,162.0,19.3084747,8.39009826,25.8,93.4,25.8,64.4,18.3,12.0,Small Village (<1K),Sparse (<100/km²),No,74.2,100,61.3,44.2,76.1,72.6,27.4
514926,SK_514926,Hrušovo,SK032,Banskobystrický kraj,162.0,10.26186837,15.7865989,69.8,220.7,65.7,63.4,49.3,60.7,Small Village (<1K),Sparse (<100/km²),No,30.2,99.2,1.4,44.2,44.6,31.6,68.4
525081,SK_525081,Ratvaj,SK041,Prešovský kraj,162.0,30.51527649,5.30881639,14.7,319.5,14.7,51.6,42.4,14.8,Small Village (<1K),Sparse (<100/km²),No,85.3,44.5,78.0,44.2,65.3,73.8,26.2
521736,SK_521736,Nižná Myšľa,SK042,Košický kraj,1617.0,128.6260109,12.57132977,12.4,318.1,12.4,9.1,12.6,12.5,Large Village (1K-5K),Medium (100-500/km²),No,87.6,65.7,81.4,64.2,88.0,86.6,13.4
